,ID,Producto,Cliente,Año,Periodo,Cantidad,Ingresos,Conteo,Costos,Margen
2384,2867,Pepper - Sorrano,"Stokes, Lind and Jacobs",2019,1,20.0,515.0,2.0,328.04,186.95999999999998
2387,2870,Coffee Caramel Biscotti,"Stokes, Lind and Jacobs",2019,2,20.0,500.0,2.0,313.04,186.95999999999998
2389,2872,Coffee Caramel Biscotti,"Stokes, Lind and Jacobs",2019,3,20.0,500.0,2.0,313.04,186.95999999999998
2390,2873,Coffee Caramel Biscotti,"Stokes, Lind and Jacobs",2019,4,20.0,500.0,2.0,313.04,186.95999999999998
2391,2874,Coffee Caramel Biscotti,"Stokes, Lind and Jacobs",2019,5,20.0,500.0,2.0,313.04,186.95999999999998
2392,2875,Coffee Caramel Biscotti,"Stokes, Lind and Jacobs",2019,6,20.0,500.0,2.0,313.04,186.95999999999998
2394,2877,"Rum - Light, Captain Morgan","Stokes, Lind and Jacobs",2019,2,10.0,185.0,1.0,123.36,61.64
2397,2880,Dried Specialty Mix 8oz/pp,"Stokes, Lind and Jacobs",2019,3,10.0,185.0,1.0,123.32,61.68000000000001
2399,2882,Dried Specialty Mix 8oz/pp,"Stokes, Lind and Jacobs",2019,4,20.0,370.0,2.0,246.64,123.36000000000001
2400,2883,Dried Specialty Mix 8oz/pp,"Stokes, Lind and Jacobs",2019,5,10.0,185.0,1.0,123.32,61.68000000000001
2401,2884,Dried Specialty Mix 8oz/pp,"Stokes, Lind and Jacobs",2019,6,10.0,185.0,1.0,123.32,61.68000000000001
2403,2886,Cheese - Swiss,"Stokes, Lind and Jacobs",2019,1,2.0,36.0,2.0,20.32,15.68
2406,2889,Potatoes - Idaho 80 Count,"Stokes, Lind and Jacobs",2019,2,2.0,26.25,2.0,10.57,15.68
2408,2891,Potatoes - Idaho 80 Count,"Stokes, Lind and Jacobs",2019,5,5.0,131.25,2.0,65.67,65.58
2413,2896,"Wine - White, Riesling, Henry Of","Stokes, Lind and Jacobs",2019,5,2.0,49.0,2.0,19.16,29.84
2415,2898,"Wine - White, Riesling, Henry Of","Stokes, Lind and Jacobs",2019,6,2.0,49.0,1.0,19.17,29.83
2417,2900,Wine - Fat Bastard Merlot,"Stokes, Lind and Jacobs",2019,1,2.0,34.5,1.0,22.72,11.780000000000001
2420,2903,Tahini Paste,"Stokes, Lind and Jacobs",2019,2,2.0,37.5,2.0,25.72,11.780000000000001
2422,2905,Tahini Paste,"Stokes, Lind and Jacobs",2019,3,6.0,112.5,3.0,77.16,35.34
2423,2906,Tahini Paste,"Stokes, Lind and Jacobs",2019,4,2.0,37.5,1.0,25.72,11.780000000000001
2424,2907,Tahini Paste,"Stokes, Lind and Jacobs",2019,6,1.0,18.75,1.0,12.86,5.890000000000001
2426,2909,Dried Peach,"Stokes, Lind and Jacobs",2019,4,2.0,52.5,1.0,36.82,15.68
2430,2913,Gatorade - Xfactor Berry,"Stokes, Lind and Jacobs",2019,5,6.0,298.5,3.0,154.1,144.4
2434,2917,Bread - English Muffin,"Stokes, Lind and Jacobs",2019,6,3.0,153.0,1.0,71.67,81.33
2438,2921,Cranberries - Frozen,"Stokes, Lind and Jacobs",2019,1,2.0,45.0,1.0,26.49,18.51
2441,2924,V8 Pet,"Stokes, Lind and Jacobs",2019,2,4.0,67.5,3.0,30.46,37.04
2443,2926,V8 Pet,"Stokes, Lind and Jacobs",2019,3,4.0,90.0,3.0,47.19,42.81
2444,2927,V8 Pet,"Stokes, Lind and Jacobs",2019,5,5.0,112.5,4.0,63.82,48.68
2445,2928,V8 Pet,"Stokes, Lind and Jacobs",2019,6,10.0,225.0,4.0,130.12,94.88
2467,2950,Ice Cream Bar - Hagen Daz,"Stokes, Lind and Jacobs",2019,4,2.0,99.5,3.0,48.23,51.27
2470,2953,"Artichokes - Knobless, White","Stokes, Lind and Jacobs",2019,5,0.0,0.0,1.0,0.0,0.0
2495,2978,Island Oasis - Cappucino Mix,Gleason-Kiehn,2019,1,19.0,325.5,6.0,152.33,173.17
2498,2981,Tomato - Tricolor Cherry,Gleason-Kiehn,2019,2,11.0,210.5,3.0,110.25,100.25
2500,2983,Tomato - Tricolor Cherry,Gleason-Kiehn,2019,3,11.0,192.5,3.0,92.24,100.26
2501,2984,Tomato - Tricolor Cherry,Gleason-Kiehn,2019,4,12.0,237.0,3.0,127.63,109.37
2502,2985,Tomato - Tricolor Cherry,Gleason-Kiehn,2019,5,17.0,335.75,4.0,180.81,154.94
2503,2986,Tomato - Tricolor Cherry,Gleason-Kiehn,2019,6,3.0,59.25,1.0,31.91,27.34
2508,2991,Cake - Pancake,"Wiegand, Champlin and Wuckert",2019,5,2.0,130.8,1.0,40.26,90.54000000000002
2532,3015,"Crab - Dungeness, Whole",Satterfield LLC,2019,5,5.0,100.0,1.0,23.42,76.58
2534,3017,Shopper Bag - S - 4,Satterfield LLC,2019,1,4.0,60.0,3.0,27.85,32.15
2537,3020,"Lemonade - Strawberry, 591 Ml",Satterfield LLC,2019,2,2.0,30.0,2.0,14.02,15.98
2539,3022,"Lemonade - Strawberry, 591 Ml",Satterfield LLC,2019,3,4.0,60.0,4.0,28.04,31.96
2540,3023,"Lemonade - Strawberry, 591 Ml",Satterfield LLC,2019,5,2.0,30.0,1.0,14.03,15.97
2542,3025,Soup - Campbells,Satterfield LLC,2019,1,1.0,41.0,1.0,9.42,31.58
2545,3028,Snapple Lemon Tea,Satterfield LLC,2019,2,2.0,82.0,1.0,26.77,55.230000000000004
2547,3030,Snapple Lemon Tea,Satterfield LLC,2019,5,5.0,205.0,1.0,134.91,70.09
2553,3036,Soup - Base Broth Beef,Hamill-Steuber,2019,1,10.0,520.0,1.0,333.35,186.64999999999998
2563,3046,Tomatoes - Heirloom,Schamberger-Von,2019,1,3.0,44.55,1.0,16.31,28.24
2567,3050,Wine - Prem Select Charddonany,Schamberger-Von,2019,1,14.0,252.4,7.0,121.29,131.11
2570,3053,"Juice - Apple, 1.36l",Schamberger-Von,2019,2,4.0,76.1,2.0,38.64,37.459999999999994
2573,3056,Wine - Semi Dry Riesling Vineland,Schamberger-Von,2019,1,14.0,210.0,7.0,111.79,98.21
2576,3059,Wine - Sawmill Creek Autumn,Schamberger-Von,2019,2,4.0,67.0,2.0,38.94,28.060000000000002
2579,3062,Icecream Cone - Areo Chocolate,Schamberger-Von,2019,1,21.0,425.25,7.0,282.84,142.41000000000003
2582,3065,Cheese - Camembert,Schamberger-Von,2019,2,6.0,101.25,2.0,60.81,40.44
2585,3068,Bread Country Roll,Schamberger-Von,2019,1,21.0,405.75,7.0,144.02,261.73
2588,3071,Juice - Apple Cider,Schamberger-Von,2019,2,6.0,87.0,2.0,12.22,74.78
2591,3074,Cherries - Fresh,Schamberger-Von,2019,1,1.0,19.5,1.0,16.39,3.1099999999999994
2595,3078,"Sugar - Sweet N Low, Individual",Schamberger-Von,2019,1,1.0,25.85,1.0,15.97,9.88
2599,3082,Sage Derby,Schamberger-Von,2019,1,1.0,39.6,1.0,20.87,18.73
2607,3090,Wine - Riesling Alsace Ac 2001,Leffler-Braun,2019,3,7.0,87.5,2.0,56.14,31.36
2610,3093,Paste - Black Olive,Leffler-Braun,2019,4,2.0,25.0,1.0,16.04,8.96
2613,3096,Spice - Onion Powder Granulated,Leffler-Braun,2019,3,10.0,125.0,4.0,69.8,55.2
2616,3099,Wine - Cava Aria Estate Brut,Leffler-Braun,2019,4,5.0,62.5,2.0,34.9,27.6
2619,3102,Cheese - St. Paulin,Leffler-Braun,2019,3,7.0,97.44,4.0,73.57,23.870000000000005
2622,3105,"Chicken - Breast, 5 - 7 Oz",Leffler-Braun,2019,4,5.0,69.6,2.0,52.55,17.049999999999997
2625,3108,Flour - Masa De Harina Mexican,Leffler-Braun,2019,2,1.0,56.5,1.0,38.55,17.950000000000003
2628,3111,Container - Clear 16 Oz,Leffler-Braun,2019,3,2.0,113.0,1.0,77.2,35.8
2630,3113,Container - Clear 16 Oz,Leffler-Braun,2019,4,1.0,56.5,1.0,38.64,17.86
2632,3115,Kohlrabi,Leffler-Braun,2019,2,7.0,103.25,4.0,74.32,28.930000000000007
2635,3118,Puree - Guava,Leffler-Braun,2019,3,3.0,44.25,2.0,31.85,12.399999999999999
2638,3121,Wine - Shiraz South Eastern,Leffler-Braun,2019,3,5.0,68.75,1.0,39.95,28.799999999999997
2641,3124,Juice - Lemon,Leffler-Braun,2019,4,2.0,27.5,1.0,15.98,11.52
2644,3127,Octopus,Leffler-Braun,2019,3,6.0,74.28,3.0,38.43,35.85
2647,3130,V8 - Vegetable Cocktail,Leffler-Braun,2019,4,2.0,24.76,1.0,12.81,11.950000000000001
2650,3133,Cape Capensis - Fillet,Leffler-Braun,2019,3,7.0,86.66,2.0,18.24,68.42
2653,3136,Roe - White Fish,Leffler-Braun,2019,4,2.0,24.76,1.0,5.16,19.6
2656,3139,Wine - Dubouef Macon - Villages,Leffler-Braun,2019,3,7.0,92.4,4.0,53.79,38.61000000000001
2659,3142,White Baguette,Leffler-Braun,2019,4,4.0,52.8,2.0,30.73,22.069999999999997
2662,3145,Squash - Sunburst,Leffler-Braun,2019,2,3.0,79.5,3.0,48.48,31.020000000000003
2665,3148,Chocolate - Milk,Leffler-Braun,2019,3,5.0,132.5,4.0,80.81,51.69
2667,3150,Chocolate - Milk,Leffler-Braun,2019,4,1.0,26.5,1.0,16.16,10.34
2668,3151,Chocolate - Milk,Leffler-Braun,2019,5,1.0,26.5,1.0,16.16,10.34
2670,3153,Butter Balls Salted,Leffler-Braun,2019,2,7.0,185.5,3.0,116.06,69.44
2673,3156,Cup - 4oz Translucent,Leffler-Braun,2019,3,4.0,106.0,3.0,66.32,39.68000000000001
2675,3158,Cup - 4oz Translucent,Leffler-Braun,2019,4,2.0,53.0,2.0,33.16,19.840000000000003
2676,3159,Cup - 4oz Translucent,Leffler-Braun,2019,5,1.0,26.5,1.0,16.58,9.920000000000002
2678,3161,Caviar - Salmon,Leffler-Braun,2019,2,3.0,79.5,3.0,46.05,33.45
2681,3164,Asparagus - Mexican,Leffler-Braun,2019,3,5.0,132.5,3.0,76.76,55.739999999999995
2683,3166,Asparagus - Mexican,Leffler-Braun,2019,4,1.0,26.5,1.0,15.35,11.15
2685,3168,Wine - Semi Dry Riesling Vineland,Leffler-Braun,2019,2,13.0,243.75,5.0,152.6,91.15
2688,3171,Wine - Sawmill Creek Autumn,Leffler-Braun,2019,3,13.0,243.75,3.0,152.59,91.16
2690,3173,Wine - Sawmill Creek Autumn,Leffler-Braun,2019,4,11.0,206.25,5.0,129.12,77.13
2691,3174,Wine - Sawmill Creek Autumn,Leffler-Braun,2019,5,1.0,37.5,2.0,11.74,25.759999999999998
2692,3175,Wine - Sawmill Creek Autumn,Leffler-Braun,2019,6,1.0,18.75,1.0,11.74,7.01
2699,3182,Cheese - Camembert,Leffler-Braun,2019,4,15.0,427.5,4.0,326.4,101.10000000000002
2701,3184,Cheese - Camembert,Leffler-Braun,2019,6,13.0,370.5,2.0,282.88,87.62
2703,3186,Bread Country Roll,Leffler-Braun,2019,2,1.0,140.0,2.0,77.3,62.7
2706,3189,Juice - Apple Cider,Leffler-Braun,2019,3,10.0,350.0,4.0,225.37,124.63
2708,3191,Juice - Apple Cider,Leffler-Braun,2019,4,2.0,70.0,1.0,45.07,24.93
2709,3192,Juice - Apple Cider,Leffler-Braun,2019,5,3.0,105.0,3.0,67.62,37.379999999999995
2710,3193,Juice - Apple Cider,Leffler-Braun,2019,6,1.0,35.0,1.0,22.54,12.46
2712,3195,Bread Bowl Plain,Leffler-Braun,2019,2,3.0,43.5,3.0,27.53,15.969999999999999
2716,3199,Cookie Dough - Oatmeal Rasin,Leffler-Braun,2019,2,6.0,79.2,2.0,64.49,14.710000000000008
2719,3202,Mayonnaise - Individual Pkg,Leffler-Braun,2019,4,1.0,13.2,1.0,10.75,2.4499999999999993
2722,3205,Cherries - Fresh,Leffler-Braun,2019,2,8.0,120.0,4.0,95.07,24.930000000000007
2725,3208,Sea Bass - Fillets,Leffler-Braun,2019,3,4.0,60.0,3.0,47.53,12.469999999999999
2727,3210,Sea Bass - Fillets,Leffler-Braun,2019,4,2.0,30.0,2.0,23.76,6.239999999999998
2729,3212,Ginger - Crystalized,Leffler-Braun,2019,2,4.0,102.0,2.0,28.9,73.1
2732,3215,Raisin - Dark,Leffler-Braun,2019,3,1.0,25.5,1.0,7.17,18.33
2734,3217,Raisin - Dark,Leffler-Braun,2019,4,1.0,25.5,1.0,7.17,18.33
2736,3219,Sage Derby,Leffler-Braun,2019,2,6.0,240.0,3.0,127.61,112.39
2739,3222,Cheese - Camembert,Leffler-Braun,2019,3,1.0,40.0,1.0,21.27,18.73
2742,3225,Cheese - Oka,Leffler-Braun,2019,2,4.0,355.0,3.0,186.6,168.4
2745,3228,Truffle Shells - White Chocolate,Leffler-Braun,2019,3,2.0,177.5,2.0,93.3,84.2
2747,3230,Truffle Shells - White Chocolate,Leffler-Braun,2019,4,1.0,88.75,1.0,46.65,42.1
2749,3232,Soup - French Can Pea,Leffler-Braun,2019,2,6.0,135.0,4.0,51.14,83.86
2752,3235,Ice Cream Bar - Hagen Daz,Leffler-Braun,2019,3,4.0,90.0,2.0,34.1,55.9
2754,3237,Ice Cream Bar - Hagen Daz,Leffler-Braun,2019,4,1.0,22.5,1.0,8.52,13.98
2755,3238,Ice Cream Bar - Hagen Daz,Leffler-Braun,2019,5,1.0,22.5,1.0,8.52,13.98
2761,3244,Kohlrabi,"Wolff, Ernser and Lang",2019,1,6.0,66.3,6.0,41.52,24.779999999999994
2764,3247,Puree - Guava,"Wolff, Ernser and Lang",2019,2,3.0,34.5,3.0,22.11,12.39
2766,3249,Puree - Guava,"Wolff, Ernser and Lang",2019,3,4.0,43.38,4.0,26.86,16.520000000000003
2767,3250,Puree - Guava,"Wolff, Ernser and Lang",2019,4,3.0,31.5,3.0,19.11,12.39
2768,3251,Puree - Guava,"Wolff, Ernser and Lang",2019,5,6.0,63.0,6.0,38.22,24.78
2769,3252,Puree - Guava,"Wolff, Ernser and Lang",2019,6,2.0,21.0,2.0,12.74,8.26
2771,3254,Tomatoes - Grape,"Wolff, Ernser and Lang",2019,1,24.0,322.5,13.0,139.96,182.54
2774,3257,"Zucchini - Mini, Green","Wolff, Ernser and Lang",2019,2,21.0,225.75,8.0,122.43,103.32
2776,3259,"Zucchini - Mini, Green","Wolff, Ernser and Lang",2019,3,23.0,247.25,11.0,134.09,113.16
2777,3260,"Zucchini - Mini, Green","Wolff, Ernser and Lang",2019,4,15.0,182.75,8.0,85.38,97.37
2778,3261,"Zucchini - Mini, Green","Wolff, Ernser and Lang",2019,5,19.0,204.25,9.0,110.77,93.48
2779,3262,"Zucchini - Mini, Green","Wolff, Ernser and Lang",2019,6,19.0,204.25,8.0,110.77,93.48
2781,3264,Wine - Shiraz South Eastern,"Wolff, Ernser and Lang",2019,5,2.0,27.5,1.0,15.98,11.52
2785,3268,Octopus,"Wolff, Ernser and Lang",2019,1,29.0,282.75,13.0,109.46,173.29000000000002
2788,3271,V8 - Vegetable Cocktail,"Wolff, Ernser and Lang",2019,2,22.0,252.75,8.0,121.27,131.48000000000002
2790,3273,V8 - Vegetable Cocktail,"Wolff, Ernser and Lang",2019,3,22.0,221.25,11.0,89.78,131.47
2791,3274,V8 - Vegetable Cocktail,"Wolff, Ernser and Lang",2019,4,20.0,195.0,9.0,75.49,119.51
2792,3275,V8 - Vegetable Cocktail,"Wolff, Ernser and Lang",2019,5,20.0,202.13,10.0,82.62,119.50999999999999
2793,3276,V8 - Vegetable Cocktail,"Wolff, Ernser and Lang",2019,6,18.0,175.5,8.0,67.93,107.57
2795,3278,"Beef - Baby, Liver","Wolff, Ernser and Lang",2019,1,20.0,320.0,11.0,137.29,182.71
2798,3281,Muffin - Mix - Creme Brule 15l,"Wolff, Ernser and Lang",2019,2,17.0,304.5,8.0,149.19,155.31
2800,3283,Muffin - Mix - Creme Brule 15l,"Wolff, Ernser and Lang",2019,3,16.0,261.0,9.0,114.82,146.18
2801,3284,Muffin - Mix - Creme Brule 15l,"Wolff, Ernser and Lang",2019,4,16.0,256.0,8.0,109.83,146.17000000000002
2802,3285,Muffin - Mix - Creme Brule 15l,"Wolff, Ernser and Lang",2019,5,10.0,160.0,6.0,68.64,91.36
2803,3286,Muffin - Mix - Creme Brule 15l,"Wolff, Ernser and Lang",2019,6,15.0,240.0,7.0,102.97,137.03
2805,3288,Wine - Dubouef Macon - Villages,"Wolff, Ernser and Lang",2019,1,11.0,116.0,10.0,55.29,60.71
2808,3291,White Baguette,"Wolff, Ernser and Lang",2019,2,9.0,103.75,5.0,54.11,49.64
2810,3293,White Baguette,"Wolff, Ernser and Lang",2019,3,9.0,100.25,9.0,50.57,49.68
2811,3294,White Baguette,"Wolff, Ernser and Lang",2019,4,9.0,123.75,8.0,74.08,49.67
2812,3295,White Baguette,"Wolff, Ernser and Lang",2019,5,6.0,82.5,6.0,49.38,33.12
2813,3296,White Baguette,"Wolff, Ernser and Lang",2019,6,8.0,110.0,7.0,65.85,44.150000000000006
2815,3298,Wine - Prem Select Charddonany,"Wolff, Ernser and Lang",2019,4,2.0,41.0,1.0,22.27,18.73
2819,3302,Squash - Sunburst,"Wolff, Ernser and Lang",2019,1,2.0,47.6,2.0,26.92,20.68
2822,3305,Chocolate - Milk,"Wolff, Ernser and Lang",2019,2,2.0,47.6,2.0,26.92,20.68
2824,3307,Chocolate - Milk,"Wolff, Ernser and Lang",2019,3,4.0,95.2,5.0,53.84,41.36
2825,3308,Chocolate - Milk,"Wolff, Ernser and Lang",2019,4,2.0,47.6,2.0,26.92,20.68
2826,3309,Chocolate - Milk,"Wolff, Ernser and Lang",2019,5,5.0,119.0,4.0,67.31,51.69
2827,3310,Chocolate - Milk,"Wolff, Ernser and Lang",2019,6,2.0,47.6,2.0,26.92,20.68
2829,3312,Butter Balls Salted,"Wolff, Ernser and Lang",2019,1,2.0,43.0,2.0,23.16,19.84
2832,3315,Cup - 4oz Translucent,"Wolff, Ernser and Lang",2019,2,2.0,43.0,2.0,23.16,19.84
2834,3317,Cup - 4oz Translucent,"Wolff, Ernser and Lang",2019,3,2.0,43.0,2.0,23.16,19.84
2835,3318,Cup - 4oz Translucent,"Wolff, Ernser and Lang",2019,4,3.0,64.5,3.0,34.74,29.759999999999998
2836,3319,Cup - 4oz Translucent,"Wolff, Ernser and Lang",2019,5,3.0,64.5,3.0,34.74,29.759999999999998
2837,3320,Cup - 4oz Translucent,"Wolff, Ernser and Lang",2019,6,1.0,21.5,1.0,11.58,9.92
2839,3322,Wine - Semi Dry Riesling Vineland,"Wolff, Ernser and Lang",2019,1,27.0,399.0,13.0,195.36,203.64
2842,3325,Wine - Sawmill Creek Autumn,"Wolff, Ernser and Lang",2019,2,15.0,231.25,6.0,126.04,105.21
2844,3327,Wine - Sawmill Creek Autumn,"Wolff, Ernser and Lang",2019,3,21.0,304.5,9.0,157.2,147.3
2845,3328,Wine - Sawmill Creek Autumn,"Wolff, Ernser and Lang",2019,4,15.0,213.75,7.0,108.53,105.22
2846,3329,Wine - Sawmill Creek Autumn,"Wolff, Ernser and Lang",2019,5,18.0,256.5,9.0,130.24,126.25999999999999
2847,3330,Wine - Sawmill Creek Autumn,"Wolff, Ernser and Lang",2019,6,17.0,242.25,8.0,123.01,119.24
2849,3332,Icecream Cone - Areo Chocolate,"Wolff, Ernser and Lang",2019,1,25.0,456.25,13.0,287.11,169.14
2852,3335,Cheese - Camembert,"Wolff, Ernser and Lang",2019,2,18.0,413.0,7.0,291.68,121.32
2854,3337,Cheese - Camembert,"Wolff, Ernser and Lang",2019,3,18.0,341.5,10.0,220.18,121.32
2855,3338,Cheese - Camembert,"Wolff, Ernser and Lang",2019,4,18.0,328.5,8.0,207.18,121.32
2856,3339,Cheese - Camembert,"Wolff, Ernser and Lang",2019,5,17.0,310.25,10.0,195.67,114.58000000000001
2857,3340,Cheese - Camembert,"Wolff, Ernser and Lang",2019,6,16.0,292.0,7.0,184.16,107.84
2859,3342,Bread Country Roll,"Wolff, Ernser and Lang",2019,1,25.0,431.25,13.0,119.68,311.57
2862,3345,Juice - Apple Cider,"Wolff, Ernser and Lang",2019,2,18.0,444.9,7.0,220.55,224.34999999999997
2864,3347,Juice - Apple Cider,"Wolff, Ernser and Lang",2019,3,18.0,344.7,11.0,120.36,224.33999999999997
2865,3348,Juice - Apple Cider,"Wolff, Ernser and Lang",2019,4,19.0,327.75,9.0,90.93,236.82
2866,3349,Juice - Apple Cider,"Wolff, Ernser and Lang",2019,5,18.0,310.5,10.0,86.15,224.35
2867,3350,Juice - Apple Cider,"Wolff, Ernser and Lang",2019,6,16.0,276.0,7.0,76.57,199.43
2869,3352,Cherries - Fresh,"Wolff, Ernser and Lang",2019,3,1.0,15.13,1.0,12.01,3.120000000000001
2872,3355,Sea Bass - Fillets,"Wolff, Ernser and Lang",2019,5,2.0,30.26,1.0,24.03,6.23
2875,3358,Ginger - Crystalized,"Wolff, Ernser and Lang",2019,3,1.0,37.0,1.0,18.67,18.33
2879,3362,"Sugar - Sweet N Low, Individual","Wolff, Ernser and Lang",2019,3,2.0,40.0,1.0,20.24,19.76
2883,3366,Sage Derby,"Wolff, Ernser and Lang",2019,1,1.0,40.15,1.0,21.42,18.729999999999997
2887,3370,Cheese - Oka,"Wolff, Ernser and Lang",2019,1,1.0,95.0,1.0,52.9,42.1
2891,3374,Soup - French Can Pea,"Wolff, Ernser and Lang",2019,1,1.0,23.93,1.0,9.95,13.98
2894,3377,Ice Cream Bar - Hagen Daz,"Wolff, Ernser and Lang",2019,3,1.0,23.93,1.0,9.95,13.98
2901,3384,Octopus,Ernser-Parker,2019,1,4.0,40.05,3.0,16.14,23.909999999999997
2904,3387,V8 - Vegetable Cocktail,Ernser-Parker,2019,2,3.0,36.0,3.0,18.06,17.94
2906,3389,V8 - Vegetable Cocktail,Ernser-Parker,2019,3,2.0,22.1,2.0,10.14,11.96
2908,3391,Skirt - 29 Foot,Ernser-Parker,2019,1,5.0,58.25,3.0,35.8,22.450000000000003
2911,3394,Blueberries - Frozen,Ernser-Parker,2019,2,4.0,52.0,3.0,34.04,17.96
2913,3396,Blueberries - Frozen,Ernser-Parker,2019,3,3.0,37.0,3.0,23.53,13.469999999999999
2915,3398,Wine - Semi Dry Riesling Vineland,Ernser-Parker,2019,1,3.0,44.5,3.0,23.47,21.03
2918,3401,Wine - Sawmill Creek Autumn,Ernser-Parker,2019,2,3.0,48.0,3.0,26.97,21.03
2920,3403,Wine - Sawmill Creek Autumn,Ernser-Parker,2019,3,3.0,46.0,2.0,24.96,21.04
2922,3405,Icecream Cone - Areo Chocolate,Ernser-Parker,2019,2,1.0,24.75,1.0,18.01,6.739999999999998
2925,3408,Cheese - Camembert,Ernser-Parker,2019,3,2.0,37.5,1.0,24.02,13.48
2928,3411,Bread Country Roll,Ernser-Parker,2019,1,4.0,79.0,3.0,29.15,49.85
2931,3414,Juice - Apple Cider,Ernser-Parker,2019,2,4.0,102.6,3.0,52.75,49.849999999999994
2933,3416,Juice - Apple Cider,Ernser-Parker,2019,3,5.0,104.55,3.0,42.23,62.32
2935,3418,Cherries - Fresh,Ernser-Parker,2019,3,1.0,15.13,1.0,12.01,3.120000000000001
2939,3422,"Sugar - Sweet N Low, Individual",Ernser-Parker,2019,1,1.0,25.85,1.0,15.97,9.88
2942,3425,Onions - Vidalia,Ernser-Parker,2019,3,1.0,34.1,1.0,24.22,9.880000000000003
2945,3428,Soup - French Can Pea,Ernser-Parker,2019,1,1.0,25.0,1.0,11.02,13.98
2953,3436,Bread Bowl Plain,Nicolas and Sons,2019,6,1.0,14.58,1.0,9.29,5.290000000000001
2957,3440,Cherries - Fresh,Nicolas and Sons,2019,1,1.0,19.5,1.0,16.38,3.120000000000001
2960,3443,Sea Bass - Fillets,Nicolas and Sons,2019,6,1.0,15.13,1.0,12.01,3.120000000000001
2963,3446,"Sugar - Sweet N Low, Individual",Nicolas and Sons,2019,1,5.0,129.25,1.0,79.86,49.39
2966,3449,Onions - Vidalia,Nicolas and Sons,2019,6,4.0,136.4,1.0,96.89,39.510000000000005
2969,3452,Sage Derby,Nicolas and Sons,2019,1,1.0,39.6,1.0,20.87,18.73
2972,3455,Cheese - Camembert,Nicolas and Sons,2019,6,1.0,40.15,1.0,21.42,18.729999999999997
2975,3458,Cheese - Oka,Nicolas and Sons,2019,1,1.0,95.0,1.0,52.9,42.1
2978,3461,Truffle Shells - White Chocolate,Nicolas and Sons,2019,6,1.0,95.0,1.0,52.9,42.1
2981,3464,Soup - French Can Pea,Nicolas and Sons,2019,1,2.0,50.0,1.0,22.05,27.95
2984,3467,Ice Cream Bar - Hagen Daz,Nicolas and Sons,2019,6,1.0,23.93,1.0,9.95,13.98
2991,3474,Kohlrabi,Prohaska-Bayer,2019,2,2.0,23.0,2.0,14.74,8.26
2994,3477,Puree - Guava,Prohaska-Bayer,2019,3,3.0,30.0,3.0,17.61,12.39
2996,3479,Puree - Guava,Prohaska-Bayer,2019,4,2.0,20.0,2.0,11.74,8.26
2997,3480,Puree - Guava,Prohaska-Bayer,2019,5,2.0,20.0,2.0,11.74,8.26
2998,3481,Puree - Guava,Prohaska-Bayer,2019,6,3.0,30.0,3.0,17.61,12.39
3000,3483,"Basil - Primerba, Paste",Prohaska-Bayer,2019,3,1.0,10.25,1.0,3.54,6.71
3004,3487,Coffee - Espresso,Prohaska-Bayer,2019,1,2.0,29.5,2.0,18.46,11.04
3007,3490,"Trout - Hot Smkd, Dbl Fillet",Prohaska-Bayer,2019,2,2.0,30.0,2.0,18.96,11.04
3009,3492,"Trout - Hot Smkd, Dbl Fillet",Prohaska-Bayer,2019,3,4.0,59.0,4.0,36.92,22.08
3010,3493,"Trout - Hot Smkd, Dbl Fillet",Prohaska-Bayer,2019,4,4.0,59.0,4.0,36.92,22.08
3011,3494,"Trout - Hot Smkd, Dbl Fillet",Prohaska-Bayer,2019,5,4.0,59.0,4.0,36.92,22.08
3012,3495,"Trout - Hot Smkd, Dbl Fillet",Prohaska-Bayer,2019,6,7.0,103.25,5.0,64.63,38.620000000000005
3014,3497,Squash - Sunburst,Prohaska-Bayer,2019,1,3.0,69.8,3.0,38.78,31.019999999999996
3017,3500,Chocolate - Milk,Prohaska-Bayer,2019,2,1.0,23.8,1.0,13.46,10.34
3019,3502,Chocolate - Milk,Prohaska-Bayer,2019,3,2.0,46.0,2.0,25.32,20.68
3020,3503,Chocolate - Milk,Prohaska-Bayer,2019,4,2.0,46.0,2.0,25.32,20.68
3021,3504,Chocolate - Milk,Prohaska-Bayer,2019,6,2.0,46.0,2.0,25.32,20.68
3023,3506,Butter Balls Salted,Prohaska-Bayer,2019,1,2.0,51.0,2.0,31.16,19.84
3026,3509,Cup - 4oz Translucent,Prohaska-Bayer,2019,2,2.0,43.0,2.0,23.16,19.84
3028,3511,Cup - 4oz Translucent,Prohaska-Bayer,2019,3,1.0,21.5,1.0,11.58,9.92
3029,3512,Cup - 4oz Translucent,Prohaska-Bayer,2019,4,1.0,21.5,1.0,11.58,9.92
3030,3513,Cup - 4oz Translucent,Prohaska-Bayer,2019,6,2.0,43.0,2.0,23.16,19.84
3032,3515,Wine - Tio Pepe Sherry Fino,Prohaska-Bayer,2019,3,1.0,14.1,1.0,2.6,11.5
3036,3519,Wine - Semi Dry Riesling Vineland,Prohaska-Bayer,2019,1,12.0,169.0,7.0,84.83,84.17
3039,3522,Wine - Sawmill Creek Autumn,Prohaska-Bayer,2019,2,9.0,144.0,6.0,80.88,63.120000000000005
3041,3524,Wine - Sawmill Creek Autumn,Prohaska-Bayer,2019,3,7.0,98.0,5.0,48.91,49.09
3042,3525,Wine - Sawmill Creek Autumn,Prohaska-Bayer,2019,4,10.0,140.0,6.0,69.86,70.14
